a,b,c
0.1,0.48,0.145243677
-0.65,-0.56,0.038212713
0.56,-0.47,-0.251930655
0.82,0.52,0.91086956
0.23,0.37,0.531509402
0.29,0,0.234411634
-0.71,0.52,1.383317
0.39,-0.52,-0.481947757
-0.75,-0.26,0.605573847
0.77,0.58,1.315187128
-0.71,-0.82,-0.173811072
0.03,-0.1,-0.060326234
-0.44,-0.96,-1.140328739
0.88,-0.96,-0.267945151
-0.05,0.26,0.404344944
-0.47,-0.41,-0.001992645
-0.82,0.35,0.532381002
0.39,0.48,0.895144856
0.09,0.52,0.375854907
-0.72,-0.63,0.108068171
0.79,-0.87,-0.596121071
0.75,-0.56,-0.438018066
-0.48,-0.59,-0.13299639
0.42,0.65,0.754579954
0.78,-0.38,-0.035027451
-0.81,0.47,1.059771768
-0.71,0.96,1.522632733
-0.73,0.71,1.180270439
-0.2,-0.55,-0.118181948
0.61,-0.02,0.284313433
0.21,0.98,1.314559166
0.27,0.64,0.349857442
0.62,-0.46,0.01604139
-0.79,0.8,1.728279904
-0.06,0.08,0.231117448
-0.32,0.86,0.853070517
0.06,-0.25,-0.301785521
-0.66,-0.49,-0.122159464
-0.65,0.02,0.27532164
-0.65,-0.07,0.050072131
0.18,-0.17,-0.237263103
0.44,-0.75,-0.353850678
0.48,-0.4,-0.160240971
0.06,0.27,0.337682587
-0.44,-0.21,-0.079803256
0.98,-0.09,0.908354342
0.58,0.43,0.875680058
-0.72,0.5,0.882302281
0.47,0.85,1.233563013
-0.81,0.72,1.656756946
0.08,-0.18,-0.074690744
0.36,0.58,0.384095014
0.49,-0.55,-0.336274525
0.35,0.97,1.071306563
-0.19,0.56,0.36007935
0.06,0.62,0.539937351
-0.81,0.96,1.327735148
0,0.6,0.869499943
-0.4,-0.54,-0.397973481
-0.36,0.66,0.816747207
0.66,0.29,0.740481339
-0.68,0.78,1.208827277
0.9,-0.68,0.218871693
-0.5,-0.63,-0.420592569
-0.52,0.77,1.240753583
-0.3,0.03,0.306901146
0.06,-0.94,-1.207527428
0.81,0.36,0.990179444
-0.17,0.28,0.462682505
-1,-0.18,1.058798843
-0.64,-0.74,-0.372865997
0.14,0.16,0.126265969
-0.3,-0.52,-0.404503459
-0.23,0.13,0.122885851
0.34,0.75,1.17758998
0.34,-0.82,-0.814530154
-0.76,0.11,0.711055593
0.94,0.67,1.567717444
-0.91,-0.71,0.031140793
0.16,0.21,0.075895376
0.96,-0.62,0.149436669
0.54,-0.78,-0.455321166
-0.36,-0.94,-0.794258935
-0.23,-0.38,-0.326135283
0.07,0.99,1.190713087
-0.69,-0.98,-0.346143627
-0.33,0.9,1.096467614
0.03,-0.64,-0.735717013
-0.66,-0.15,0.376108798
-0.84,-0.92,-0.167427155
-0.16,0.44,0.339862675
-0.17,0.68,0.649844208
-0.07,0.61,0.723359461
0.16,-0.93,-0.57728018
0.87,0.79,1.242647912
-0.53,-0.1,0.069270378
-0.61,-0.91,-0.692973593
-0.01,0.78,0.679564231
-0.92,-0.46,0.611451173
-0.19,0.13,0.377942475
0.89,0.78,1.460026993
0.6,-0.78,-0.131055713
-0.86,0.91,1.452517094
-0.91,-0.38,0.225106957
0.2,0.93,0.788365944
-0.02,0.71,0.822538813
-0.03,0.74,0.865461701
-0.56,-0.89,-0.307323001
0.78,0.68,1.211594057
-0.31,-0.95,-0.828248305
-0.9,0.62,1.746807412
-0.41,-0.84,-0.280523889
-0.44,0.34,0.68219589
-0.41,0.26,0.205546398
-0.98,0.22,0.80760795
0.25,0.04,0.211233144
-0.52,-0.3,0.130047923
-0.1,-1,-0.717790572
0.17,-0.78,-0.335010948
0.84,-0.18,0.845218756
-0.11,0.11,-0.063638443
-0.2,0.32,0.186166858
0.76,0.08,1.124879268
-0.06,0.68,0.743285249
0.28,0.68,1.145335064
-0.35,-0.02,0.106778232
0.14,-0.5,-0.287174099
0.89,0.5,1.064570014
0.56,0.41,0.702794328
0.43,-0.65,-0.11341173
0.46,-0.88,-0.578320028
0.5,0.53,0.661344021
0.42,-0.98,-0.752207097
0.09,0.17,-0.098935672
-0.83,-0.72,-0.35827404
-0.7,-0.68,-0.298634421
0.87,0.92,1.786833694
0.9,-0.71,-0.361824895
0.59,-0.66,-0.619000006
0.71,0.63,1.066215148
-0.5,0.4,0.65460615
-0.83,0.47,1.392686844
0.19,-0.19,-0.286938951
-0.59,1,1.492262094
-0.76,-0.33,-0.005205935
-0.74,-0.84,-0.87957765
-0.24,-0.71,-0.386602507
0.25,1,1.215389643
0.19,0.05,-0.047297167
-0.3,0.45,0.743693689
-0.17,-0.16,-0.18871107
0.28,-0.3,0.215311784
-0.88,-0.54,0.076212075
-0.15,0.09,0.07296687
-0.82,-0.22,0.39877016
-0.33,-0.69,-0.97795037
-0.23,0.34,0.42873627
0.38,0.96,0.93244188
0.47,-0.45,0.313738137
0.04,-0.37,-0.274193586
-0.29,0.53,0.968136413
0.22,-0.12,-0.354761374
-0.08,-0.5,-0.36107821
0.64,-0.63,-0.215679857
-0.01,-0.78,-0.898804136
0.45,-0.23,0.001852649
0.93,0.56,1.293364562
-0.04,-0.35,-0.440125917
-0.49,0.69,0.651864693
-1,-0.95,0.034552623
0.95,-0.61,0.260173446
0.1,-0.61,-0.422096066
-0.61,0.9,1.074580507
-0.96,-0.58,0.387708343
0.19,-0.66,-0.907344961
-0.2,0.82,1.07413201
0.56,-0.55,-0.189186482
0.27,-0.13,-0.147430484
0.53,-0.99,-0.956819668
-0.8,-0.51,0.168833536
-0.17,0.23,0.450963337
-0.42,-0.6,-0.387224067
0.99,0.88,1.487157379
-0.4,0.42,0.632895467
0.69,0.47,0.914884292
-0.11,0.78,0.816540869
-0.57,0.37,0.619500093
0.46,0.3,0.480148218
1,-0.54,0.469388128
-0.54,-0.69,-0.262891518
0.46,0.76,1.184423597
0.91,-0.11,0.830714048
-0.02,-0.8,-0.765311907
0.28,-0.58,-0.481771601
0.77,0.64,1.25921345
0.21,-0.52,-0.418106533
0.7,0.87,1.328318414
0.12,0.1,0.214338952
-0.09,0.29,0.27581791
