a,b,c
-0.56,-0.78,1
0.82,-0.84,1
-0.6,-0.02,1
-0.06,-0.82,-1
-0.85,-0.33,1
0.12,-0.42,1
0.27,-0.28,1
-0.11,0.81,-1
-0.71,0.32,1
-0.17,0.92,1
-0.03,-0.97,-1
0.09,0.96,1
0.96,-0.75,1
0.98,0.17,1
0.9,0.27,-1
0.04,-0.67,-1
-0.68,0.4,1
0.23,0.14,-1
0.66,0.27,1
0.46,-0.47,-1
0.33,-0.41,-1
-0.16,-0.7,1
-0.67,-0.59,1
0.58,0.3,1
-0.87,-0.14,-1
0.87,-0.74,1
-0.08,-0.05,-1
0.23,0.47,1
0.85,-0.84,1
0.26,-0.81,-1
-0.5,-0.41,1
0.03,-0.06,1
-0.84,0.29,1
-0.31,-0.89,1
-0.24,0.39,-1
0.69,-0.22,1
-0.66,-0.71,-1
0.79,-0.06,1
-0.39,0.97,1
0.62,0.13,1
0.99,0.75,-1
-0.82,-0.08,1
-0.86,0.95,-1
0.23,0.59,1
0.26,0.26,-1
0.51,0.03,1
-0.47,-0.18,1
-0.78,0.51,-1
0.49,0.12,1
-0.39,-0.83,-1
-0.23,-0.63,-1
-0.69,-0.35,-1
1,-0.28,-1
-0.55,0.76,1
0.3,0.34,-1
0.77,-0.86,-1
-0.37,-0.03,1
0.13,0.8,1
0.43,0.77,1
0.63,0.34,-1
-0.73,-0.95,-1
-0.42,-0.78,1
0.37,1,1
0.27,0.71,1
-0.36,-0.07,1
0.68,0.32,-1
-0.86,-0.79,1
0.14,-0.12,1
0.45,-0.51,1
-0.14,-0.36,1
-0.64,0.87,1
0.78,-0.67,1
0.07,0.32,1
0.45,0.46,1
-0.87,-0.23,1
-0.03,-0.85,1
-0.34,-0.09,-1
0.67,0.34,1
0.99,0.29,-1
0.6,0.58,-1
-0.96,-0.13,1
-0.88,-0.83,1
-0.08,0.81,-1
0.01,0.59,1
-0.12,-0.17,1
-0.37,0.51,-1
0.37,-0.87,-1
-0.24,-0.94,1
0.31,0.95,-1
0.19,0.97,-1
-0.4,0.71,1
0.57,0.35,-1
0.62,0.06,-1
0.55,0.96,1
0.98,0.49,1
-0.8,-0.57,1
-0.32,-0.32,1
-0.56,0.35,-1
0.24,-0.15,1
0.46,-0.8,-1
-0.99,0.29,1
1,0.35,1
-0.21,0.55,1
0.04,-0.58,-1
0.78,0.24,1
-0.38,-0.09,1
0.16,-0.2,1
-0.27,-0.83,1
0.59,0.16,-1
-0.38,0.21,1
-0.9,0.96,-1
0.24,-0.56,1
0.91,-0.57,1
0.01,0.58,1
-0.99,0.93,1
0.9,-0.33,1
-0.19,0.13,1
0.61,0.42,-1
0.22,0.84,1
-0.18,0.09,-1
-0.44,0.26,1
0.22,0.84,1
0.39,-0.57,-1
-0.71,-0.31,1
0.31,-0.12,1
0.95,-0.92,1
0.16,-0.91,1
0,0.58,1
0.58,0.91,1
-0.69,0.9,1
0.96,-0.9,1
-0.59,-0.7,1
-0.93,0.17,1
-0.32,0.76,-1
0.98,0.45,1
-0.34,0.11,1
0.77,-0.15,1
-0.25,0.41,1
0.39,0.65,1
-0.56,-1,1
0.58,-0.42,1
0.37,-0.56,-1
0.64,-0.29,1
-0.9,-0.14,-1
0.51,0.51,1
-0.64,-0.9,-1
0.48,0.01,1
-0.36,-0.51,-1
-0.34,0.15,-1
0.57,-0.48,-1
0.17,0.63,-1
-0.46,0.75,1
0.23,-0.08,-1
-0.66,-1,1
0.94,-0.48,-1
-0.05,-0.31,1
0.46,0.11,1
0.04,0.65,-1
0.56,-0.01,1
0.26,-0.58,1
-0.28,0.14,1
-0.96,0.58,1
-0.38,-0.81,1
-0.93,-0.75,1
0.6,0.24,1
0.02,0.81,1
-0.09,0.52,1
-0.37,-0.37,1
-0.29,0.84,1
-0.73,0.97,1
-0.39,0.33,1
-0.87,0.75,1
0.32,-0.12,1
-0.16,-1,1
-0.31,0.56,1
-0.36,0.34,1
0.47,-0.73,1
-0.36,-0.72,1
0.52,0.19,-1
0.24,0.62,1
-0.46,-0.64,1
-0.6,0.77,1
-0.69,-0.29,1
0.21,0.22,-1
-0.23,0.5,1
